1	chr1
QNVO02000324.1	chr3_NW_021160134v1_random
QNVO02000466.1	chr8_NW_021160218v1_random
QNVO02001855.1	chrUn_NW_021161711v1
QNVO02001846.1	chrUn_NW_021161702v1
QNVO02001850.1	chrUn_NW_021161706v1
QNVO02000173.1	chr16_NW_021160322v1_random
QNVO02000172.1	chr16_NW_021160321v1_random
QNVO02001847.1	chrUn_NW_021161703v1
QNVO02000149.1	chr15_NW_021160309v1_random
QNVO02000148.1	chr15_NW_021160308v1_random
QNVO02001948.1	chrUn_NW_021161804v1
QNVO02001857.1	chrUn_NW_021161713v1
QNVO02001848.1	chrUn_NW_021161704v1
QNVO02000431.1	chr7_NW_021160198v1_random
QNVO02000473.1	chr8_NW_021160225v1_random
QNVO02001853.1	chrUn_NW_021161709v1
QNVO02000180.1	chr16_NW_021160329v1_random
QNVO02000242.1	chr19_NW_021160362v1_random
QNVO02000096.1	chr13_NW_021160276v1_random
QNVO02001842.1	chrUn_NW_021161698v1
QNVO02001839.1	chrUn_NW_021161695v1
QNVO02002904.1	chrUn_NW_021162758v1
QNVO02001841.1	chrUn_NW_021161697v1
QNVO02001844.1	chrUn_NW_021161700v1
QNVO02001840.1	chrUn_NW_021161696v1
QNVO02001950.1	chrUn_NW_021161806v1
QNVO02000302.1	chr2_NW_021160120v1_random
QNVO02000305.1	chr2_NW_021160123v1_random
QNVO02000123.1	chr14_NW_021160293v1_random
QNVO02001825.1	chrUn_NW_021161681v1
QNVO02001835.1	chrUn_NW_021161691v1
QNVO02000147.1	chr15_NW_021160307v1_random
QNVO02000069.1	chr11_NW_021160263v1_random
QNVO02001828.1	chrUn_NW_021161684v1
QNVO02000171.1	chr16_NW_021160320v1_random
QNVO02001813.1	chrUn_NW_021161669v1
QNVO02001868.1	chrUn_NW_021161724v1
QNVO02000355.1	chr4_NW_021160153v1_random
QNVO02001885.1	chrUn_NW_021161741v1
QNVO02001834.1	chrUn_NW_021161690v1
QNVO02001870.1	chrUn_NW_021161726v1
QNVO02001823.1	chrUn_NW_021161679v1
QNVO02001822.1	chrUn_NW_021161678v1
QNVO02001931.1	chrUn_NW_021161787v1
QNVO02000508.1	chr9_NW_021160230v1_random
QNVO02000277.1	chr1_NW_021160112v1_random
QNVO02001820.1	chrUn_NW_021161676v1
QNVO02001826.1	chrUn_NW_021161682v1
QNVO02000430.1	chr7_NW_021160197v1_random
QNVO02001812.1	chrUn_NW_021161668v1
QNVO02001818.1	chrUn_NW_021161674v1
QNVO02001824.1	chrUn_NW_021161680v1
QNVO02001809.1	chrUn_NW_021161665v1
QNVO02001807.1	chrUn_NW_021161663v1
QNVO02001819.1	chrUn_NW_021161675v1
QNVO02000965.1	chrUn_NW_021160826v1
QNVO02000268.1	chr1_NW_021160103v1_random
QNVO02000126.1	chr14_NW_021160296v1_random
QNVO02001815.1	chrUn_NW_021161671v1
QNVO02001800.1	chrUn_NW_021161656v1
QNVO02001804.1	chrUn_NW_021161660v1
QNVO02000300.1	chr2_NW_021160118v1_random
QNVO02000323.1	chr3_NW_021160133v1_random
QNVO02001801.1	chrUn_NW_021161657v1
QNVO02001814.1	chrUn_NW_021161670v1
QNVO02001805.1	chrUn_NW_021161661v1
QNVO02001792.1	chrUn_NW_021161648v1
QNVO02001808.1	chrUn_NW_021161664v1
QNVO02001918.1	chrUn_NW_021161774v1
QNVO02001794.1	chrUn_NW_021161650v1
QNVO02001799.1	chrUn_NW_021161655v1
QNVO02003176.1	chrX_NW_021160382v1_random
QNVO02001803.1	chrUn_NW_021161659v1
QNVO02001832.1	chrUn_NW_021161688v1
QNVO02000169.1	chr16_NW_021160318v1_random
QNVO02000206.1	chr17_NW_021160343v1_random
QNVO02001893.1	chrUn_NW_021161749v1
QNVO02001789.1	chrUn_NW_021161645v1
QNVO02001791.1	chrUn_NW_021161647v1
QNVO02000267.1	chr1_NW_021160102v1_random
QNVO02001779.1	chrUn_NW_021161635v1
QNVO02001880.1	chrUn_NW_021161736v1
QNVO02001787.1	chrUn_NW_021161643v1
QNVO02001786.1	chrUn_NW_021161642v1
QNVO02001781.1	chrUn_NW_021161637v1
QNVO02001780.1	chrUn_NW_021161636v1
QNVO02001785.1	chrUn_NW_021161641v1
QNVO02001810.1	chrUn_NW_021161666v1
QNVO02001777.1	chrUn_NW_021161633v1
QNVO02001778.1	chrUn_NW_021161634v1
QNVO02001783.1	chrUn_NW_021161639v1
QNVO02001776.1	chrUn_NW_021161632v1
QNVO02001790.1	chrUn_NW_021161646v1
QNVO02001773.1	chrUn_NW_021161629v1
QNVO02001782.1	chrUn_NW_021161638v1
QNVO02001768.1	chrUn_NW_021161624v1
QNVO02001717.1	chrUn_NW_021161576v1
QNVO02000380.1	chr5_NW_021160171v1_random
QNVO02000266.1	chr1_NW_021160101v1_random
QNVO02001766.1	chrUn_NW_021161622v1
QNVO02003175.1	chrX_NW_021160381v1_random
QNVO02001770.1	chrUn_NW_021161626v1
QNVO02001764.1	chrUn_NW_021161620v1
QNVO02001769.1	chrUn_NW_021161625v1
QNVO02001765.1	chrUn_NW_021161621v1
QNVO02001763.1	chrUn_NW_021161619v1
QNVO02001922.1	chrUn_NW_021161778v1
QNVO02001843.1	chrUn_NW_021161699v1
QNVO02000301.1	chr2_NW_021160119v1_random
QNVO02001761.1	chrUn_NW_021161617v1
QNVO02000507.1	chr9_NW_021160229v1_random
QNVO02001760.1	chrUn_NW_021161616v1
QNVO02000506.1	chr9_NW_021160228v1_random
QNVO02000332.1	chr3_NW_021160142v1_random
QNVO02001762.1	chrUn_NW_021161618v1
QNVO02001758.1	chrUn_NW_021161614v1
QNVO02001837.1	chrUn_NW_021161693v1
QNVO02001833.1	chrUn_NW_021161689v1
QNVO02000518.1	chr9_NW_021160240v1_random
QNVO02001957.1	chrUn_NW_021161813v1
QNVO02001754.1	chrUn_NW_021161610v1
QNVO02001751.1	chrUn_NW_021161607v1
QNVO02000397.1	chr6_NW_021160181v1_random
QNVO02001487.1	chrUn_NW_021161346v1
QNVO02001741.1	chrUn_NW_021161597v1
QNVO02001925.1	chrUn_NW_021161781v1
QNVO02001746.1	chrUn_NW_021161602v1
QNVO02001755.1	chrUn_NW_021161611v1
QNVO02001748.1	chrUn_NW_021161604v1
QNVO02000354.1	chr4_NW_021160152v1_random
QNVO02001852.1	chrUn_NW_021161708v1
QNVO02000241.1	chr19_NW_021160361v1_random
QNVO02001942.1	chrUn_NW_021161798v1
QNVO02001742.1	chrUn_NW_021161598v1
QNVO02001753.1	chrUn_NW_021161609v1
QNVO02001745.1	chrUn_NW_021161601v1
QNVO02001749.1	chrUn_NW_021161605v1
QNVO02001012.1	chrUn_NW_021160871v1
QNVO02001752.1	chrUn_NW_021161608v1
QNVO02001732.1	chrUn_NW_021161591v1
QNVO02001756.1	chrUn_NW_021161612v1
QNVO02001734.1	chrUn_NW_021161593v1
QNVO02001650.1	chrUn_NW_021161509v1
QNVO02000205.1	chr17_NW_021160342v1_random
QNVO02000204.1	chr17_NW_021160341v1_random
QNVO02001743.1	chrUn_NW_021161599v1
QNVO02000122.1	chr14_NW_021160292v1_random
QNVO02001725.1	chrUn_NW_021161584v1
QNVO02000429.1	chr7_NW_021160196v1_random
QNVO02001726.1	chrUn_NW_021161585v1
QNVO02001730.1	chrUn_NW_021161589v1
QNVO02001712.1	chrUn_NW_021161571v1
QNVO02001724.1	chrUn_NW_021161583v1
QNVO02001731.1	chrUn_NW_021161590v1
QNVO02001729.1	chrUn_NW_021161588v1
QNVO02001721.1	chrUn_NW_021161580v1
QNVO02001831.1	chrUn_NW_021161687v1
QNVO02001713.1	chrUn_NW_021161572v1
QNVO02001723.1	chrUn_NW_021161582v1
QNVO02000465.1	chr8_NW_021160217v1_random
QNVO02001705.1	chrUn_NW_021161564v1
QNVO02001727.1	chrUn_NW_021161586v1
QNVO02001798.1	chrUn_NW_021161654v1
QNVO02000353.1	chr4_NW_021160151v1_random
QNVO02001714.1	chrUn_NW_021161573v1
QNVO02001706.1	chrUn_NW_021161565v1
QNVO02001708.1	chrUn_NW_021161567v1
QNVO02001720.1	chrUn_NW_021161579v1
QNVO02001838.1	chrUn_NW_021161694v1
QNVO02001707.1	chrUn_NW_021161566v1
QNVO02001703.1	chrUn_NW_021161562v1
QNVO02001715.1	chrUn_NW_021161574v1
QNVO02000756.1	chrUn_NW_021160617v1
QNVO02001689.1	chrUn_NW_021161548v1
QNVO02001692.1	chrUn_NW_021161551v1
QNVO02001701.1	chrUn_NW_021161560v1
QNVO02000121.1	chr14_NW_021160291v1_random
QNVO02000045.1	chr10_NW_021160247v1_random
QNVO02001700.1	chrUn_NW_021161559v1
QNVO02001711.1	chrUn_NW_021161570v1
QNVO02001702.1	chrUn_NW_021161561v1
QNVO02001695.1	chrUn_NW_021161554v1
QNVO02001697.1	chrUn_NW_021161556v1
QNVO02001719.1	chrUn_NW_021161578v1
QNVO02001698.1	chrUn_NW_021161557v1
QNVO02000203.1	chr17_NW_021160340v1_random
QNVO02001690.1	chrUn_NW_021161549v1
QNVO02000653.1	chrUn_NW_021160517v1
QNVO02001797.1	chrUn_NW_021161653v1
QNVO02001684.1	chrUn_NW_021161543v1
QNVO02000097.1	chr13_NW_021160277v1_random
QNVO02000067.1	chr11_NW_021160261v1_random
QNVO02001687.1	chrUn_NW_021161546v1
QNVO02001974.1	chrUn_NW_021161830v1
QNVO02001685.1	chrUn_NW_021161544v1
QNVO02001686.1	chrUn_NW_021161545v1
QNVO02001671.1	chrUn_NW_021161530v1
QNVO02001675.1	chrUn_NW_021161534v1
QNVO02001676.1	chrUn_NW_021161535v1
QNVO02000115.1	chr14_NW_021160285v1_random
QNVO02001451.1	chrUn_NW_021161310v1
QNVO02001673.1	chrUn_NW_021161532v1
QNVO02000120.1	chr14_NW_021160290v1_random
QNVO02001682.1	chrUn_NW_021161541v1
QNVO02001674.1	chrUn_NW_021161533v1
QNVO02002017.1	chrUn_NW_021161871v1
QNVO02001747.1	chrUn_NW_021161603v1
QNVO02003036.1	chrUn_NW_021162890v1
QNVO02001678.1	chrUn_NW_021161537v1
QNVO02001817.1	chrUn_NW_021161673v1
QNVO02000240.1	chr19_NW_021160360v1_random
QNVO02001704.1	chrUn_NW_021161563v1
QNVO02001670.1	chrUn_NW_021161529v1
QNVO02001667.1	chrUn_NW_021161526v1
QNVO02001666.1	chrUn_NW_021161525v1
QNVO02001710.1	chrUn_NW_021161569v1
QNVO02000265.1	chr1_NW_021160100v1_random
QNVO02001694.1	chrUn_NW_021161553v1
QNVO02001772.1	chrUn_NW_021161628v1
QNVO02001679.1	chrUn_NW_021161538v1
QNVO02001658.1	chrUn_NW_021161517v1
QNVO02001660.1	chrUn_NW_021161519v1
QNVO02000322.1	chr3_NW_021160132v1_random
QNVO02001662.1	chrUn_NW_021161521v1
QNVO02000043.1	chr10_NW_021160245v1_random
QNVO02000044.1	chr10_NW_021160246v1_random
QNVO02002372.1	chrUn_NW_021162226v1
QNVO02000200.1	chr17_NW_021160337v1_random
QNVO02001655.1	chrUn_NW_021161514v1
QNVO02001653.1	chrUn_NW_021161512v1
QNVO02001688.1	chrUn_NW_021161547v1
QNVO02001647.1	chrUn_NW_021161506v1
QNVO02001656.1	chrUn_NW_021161515v1
QNVO02000170.1	chr16_NW_021160319v1_random
QNVO02001648.1	chrUn_NW_021161507v1
QNVO02001664.1	chrUn_NW_021161523v1
QNVO02001652.1	chrUn_NW_021161511v1
QNVO02001651.1	chrUn_NW_021161510v1
QNVO02001696.1	chrUn_NW_021161555v1
QNVO02001645.1	chrUn_NW_021161504v1
QNVO02001649.1	chrUn_NW_021161508v1
QNVO02001661.1	chrUn_NW_021161520v1
QNVO02001646.1	chrUn_NW_021161505v1
QNVO02001636.1	chrUn_NW_021161495v1
QNVO02001657.1	chrUn_NW_021161516v1
QNVO02001641.1	chrUn_NW_021161500v1
QNVO02001633.1	chrUn_NW_021161492v1
QNVO02001638.1	chrUn_NW_021161497v1
QNVO02001639.1	chrUn_NW_021161498v1
QNVO02001635.1	chrUn_NW_021161494v1
QNVO02001642.1	chrUn_NW_021161501v1
QNVO02001626.1	chrUn_NW_021161485v1
QNVO02001632.1	chrUn_NW_021161491v1
QNVO02000066.1	chr11_NW_021160260v1_random
QNVO02001629.1	chrUn_NW_021161488v1
QNVO02001643.1	chrUn_NW_021161502v1
QNVO02001627.1	chrUn_NW_021161486v1
QNVO02000321.1	chr3_NW_021160131v1_random
QNVO02001668.1	chrUn_NW_021161527v1
QNVO02001693.1	chrUn_NW_021161552v1
QNVO02001630.1	chrUn_NW_021161489v1
QNVO02001631.1	chrUn_NW_021161490v1
QNVO02001624.1	chrUn_NW_021161483v1
QNVO02001757.1	chrUn_NW_021161613v1
QNVO02000943.1	chrUn_NW_021160804v1
QNVO02001616.1	chrUn_NW_021161475v1
QNVO02001618.1	chrUn_NW_021161477v1
QNVO02001608.1	chrUn_NW_021161467v1
QNVO02001612.1	chrUn_NW_021161471v1
QNVO02001617.1	chrUn_NW_021161476v1
QNVO02001607.1	chrUn_NW_021161466v1
QNVO02002393.1	chrUn_NW_021162247v1
QNVO02001623.1	chrUn_NW_021161482v1
QNVO02000220.1	chr18_NW_021160354v1_random
QNVO02001609.1	chrUn_NW_021161468v1
QNVO02001610.1	chrUn_NW_021161469v1
QNVO02001611.1	chrUn_NW_021161470v1
QNVO02001613.1	chrUn_NW_021161472v1
QNVO02001603.1	chrUn_NW_021161462v1
QNVO02000378.1	chr5_NW_021160169v1_random
QNVO02001796.1	chrUn_NW_021161652v1
QNVO02000888.1	chrUn_NW_021160749v1
QNVO02001599.1	chrUn_NW_021161458v1
QNVO02001604.1	chrUn_NW_021161463v1
QNVO02001620.1	chrUn_NW_021161479v1
QNVO02000377.1	chr5_NW_021160168v1_random
QNVO02001595.1	chrUn_NW_021161454v1
QNVO02001600.1	chrUn_NW_021161459v1
QNVO02001598.1	chrUn_NW_021161457v1
QNVO02001596.1	chrUn_NW_021161455v1
QNVO02000428.1	chr7_NW_021160195v1_random
QNVO02000219.1	chr18_NW_021160353v1_random
QNVO02001601.1	chrUn_NW_021161460v1
QNVO02001605.1	chrUn_NW_021161464v1
QNVO02000239.1	chr19_NW_021160359v1_random
QNVO02001592.1	chrUn_NW_021161451v1
QNVO02001659.1	chrUn_NW_021161518v1
QNVO02001593.1	chrUn_NW_021161452v1
QNVO02001590.1	chrUn_NW_021161449v1
QNVO02001640.1	chrUn_NW_021161499v1
QNVO02001933.1	chrUn_NW_021161789v1
QNVO02001587.1	chrUn_NW_021161446v1
QNVO02001581.1	chrUn_NW_021161440v1
QNVO02002071.1	chrUn_NW_021161925v1
QNVO02001585.1	chrUn_NW_021161444v1
QNVO02001576.1	chrUn_NW_021161435v1
QNVO02000299.1	chr2_NW_021160117v1_random
QNVO02001583.1	chrUn_NW_021161442v1
QNVO02001571.1	chrUn_NW_021161430v1
QNVO02001582.1	chrUn_NW_021161441v1
QNVO02001573.1	chrUn_NW_021161432v1
QNVO02001577.1	chrUn_NW_021161436v1
QNVO02001591.1	chrUn_NW_021161450v1
QNVO02001619.1	chrUn_NW_021161478v1
QNVO02001574.1	chrUn_NW_021161433v1
QNVO02000264.1	chr1_NW_021160099v1_random
QNVO02000145.1	chr15_NW_021160305v1_random
QNVO02001588.1	chrUn_NW_021161447v1
QNVO02001566.1	chrUn_NW_021161425v1
QNVO02000086.1	chr12_NW_021160273v1_random
QNVO02001716.1	chrUn_NW_021161575v1
QNVO02001565.1	chrUn_NW_021161424v1
QNVO02001556.1	chrUn_NW_021161415v1
QNVO02001553.1	chrUn_NW_021161412v1
QNVO02001568.1	chrUn_NW_021161427v1
QNVO02001569.1	chrUn_NW_021161428v1
QNVO02001561.1	chrUn_NW_021161420v1
QNVO02000263.1	chr1_NW_021160098v1_random
QNVO02001572.1	chrUn_NW_021161431v1
QNVO02001567.1	chrUn_NW_021161426v1
QNVO02001552.1	chrUn_NW_021161411v1
QNVO02001555.1	chrUn_NW_021161414v1
QNVO02001557.1	chrUn_NW_021161416v1
QNVO02001001.1	chrUn_NW_021160860v1
QNVO02001562.1	chrUn_NW_021161421v1
QNVO02000144.1	chr15_NW_021160304v1_random
QNVO02001518.1	chrUn_NW_021161377v1
QNVO02001614.1	chrUn_NW_021161473v1
QNVO02000505.1	chr9_NW_021160227v1_random
QNVO02001554.1	chrUn_NW_021161413v1
QNVO02001563.1	chrUn_NW_021161422v1
QNVO02001584.1	chrUn_NW_021161443v1
QNVO02001541.1	chrUn_NW_021161400v1
QNVO02001744.1	chrUn_NW_021161600v1
QNVO02001564.1	chrUn_NW_021161423v1
QNVO02000146.1	chr15_NW_021160306v1_random
QNVO02000238.1	chr19_NW_021160358v1_random
QNVO02001545.1	chrUn_NW_021161404v1
QNVO02001544.1	chrUn_NW_021161403v1
QNVO02000396.1	chr6_NW_021160180v1_random
QNVO02001548.1	chrUn_NW_021161407v1
QNVO02001543.1	chrUn_NW_021161402v1
QNVO02001538.1	chrUn_NW_021161397v1
QNVO02001550.1	chrUn_NW_021161409v1
QNVO02001722.1	chrUn_NW_021161581v1
QNVO02001549.1	chrUn_NW_021161408v1
QNVO02000088.1	chr12_NW_021160275v1_random
QNVO02001524.1	chrUn_NW_021161383v1
QNVO02001539.1	chrUn_NW_021161398v1
QNVO02001533.1	chrUn_NW_021161392v1
QNVO02000385.1	chr5_NW_021160176v1_random
QNVO02001537.1	chrUn_NW_021161396v1
QNVO02001519.1	chrUn_NW_021161378v1
QNVO02001532.1	chrUn_NW_021161391v1
QNVO02001530.1	chrUn_NW_021161389v1
QNVO02001559.1	chrUn_NW_021161418v1
QNVO02001525.1	chrUn_NW_021161384v1
QNVO02001516.1	chrUn_NW_021161375v1
QNVO02000395.1	chr6_NW_021160179v1_random
QNVO02001423.1	chrUn_NW_021161282v1
QNVO02001733.1	chrUn_NW_021161592v1
QNVO02001526.1	chrUn_NW_021161385v1
QNVO02001535.1	chrUn_NW_021161394v1
QNVO02001522.1	chrUn_NW_021161381v1
QNVO02001547.1	chrUn_NW_021161406v1
QNVO02001517.1	chrUn_NW_021161376v1
QNVO02000143.1	chr15_NW_021160303v1_random
QNVO02001510.1	chrUn_NW_021161369v1
QNVO02002411.1	chrUn_NW_021162265v1
QNVO02001496.1	chrUn_NW_021161355v1
QNVO02001511.1	chrUn_NW_021161370v1
QNVO02001528.1	chrUn_NW_021161387v1
QNVO02001527.1	chrUn_NW_021161386v1
QNVO02000202.1	chr17_NW_021160339v1_random
QNVO02001512.1	chrUn_NW_021161371v1
QNVO02000463.1	chr8_NW_021160215v1_random
QNVO02002981.1	chrUn_NW_021162835v1
QNVO02001507.1	chrUn_NW_021161366v1
QNVO02001520.1	chrUn_NW_021161379v1
QNVO02001529.1	chrUn_NW_021161388v1
QNVO02001498.1	chrUn_NW_021161357v1
QNVO02001505.1	chrUn_NW_021161364v1
QNVO02001515.1	chrUn_NW_021161374v1
QNVO02001622.1	chrUn_NW_021161481v1
QNVO02001506.1	chrUn_NW_021161365v1
QNVO02001500.1	chrUn_NW_021161359v1
QNVO02001502.1	chrUn_NW_021161361v1
QNVO02001494.1	chrUn_NW_021161353v1
QNVO02001493.1	chrUn_NW_021161352v1
QNVO02001508.1	chrUn_NW_021161367v1
QNVO02002368.1	chrUn_NW_021162222v1
QNVO02000376.1	chr5_NW_021160167v1_random
QNVO02000118.1	chr14_NW_021160288v1_random
QNVO02001492.1	chrUn_NW_021161351v1
QNVO02003112.1	chrUn_NW_021162966v1
QNVO02001491.1	chrUn_NW_021161350v1
QNVO02001504.1	chrUn_NW_021161363v1
QNVO02003126.1	chrUn_NW_021162980v1
QNVO02001499.1	chrUn_NW_021161358v1
QNVO02000218.1	chr18_NW_021160352v1_random
QNVO02000119.1	chr14_NW_021160289v1_random
QNVO02001621.1	chrUn_NW_021161480v1
QNVO02000117.1	chr14_NW_021160287v1_random
QNVO02001856.1	chrUn_NW_021161712v1
QNVO02000201.1	chr17_NW_021160338v1_random
QNVO02000352.1	chr4_NW_021160150v1_random
QNVO02001501.1	chrUn_NW_021161360v1
QNVO02001489.1	chrUn_NW_021161348v1
QNVO02001497.1	chrUn_NW_021161356v1
QNVO02001509.1	chrUn_NW_021161368v1
QNVO02001485.1	chrUn_NW_021161344v1
QNVO02001482.1	chrUn_NW_021161341v1
QNVO02001490.1	chrUn_NW_021161349v1
QNVO02001476.1	chrUn_NW_021161335v1
QNVO02001463.1	chrUn_NW_021161322v1
QNVO02001483.1	chrUn_NW_021161342v1
QNVO02001478.1	chrUn_NW_021161337v1
QNVO02002097.1	chrUn_NW_021161951v1
QNVO02001479.1	chrUn_NW_021161338v1
QNVO02000642.1	chrUn_NW_021160506v1
QNVO02000217.1	chr18_NW_021160351v1_random
QNVO02001466.1	chrUn_NW_021161325v1
QNVO02000262.1	chr1_NW_021160097v1_random
QNVO02001546.1	chrUn_NW_021161405v1
QNVO02000065.1	chr11_NW_021160259v1_random
QNVO02001474.1	chrUn_NW_021161333v1
QNVO02000295.1	chr20_NW_021160379v1_random
QNVO02000068.1	chr11_NW_021160262v1_random
QNVO02000116.1	chr14_NW_021160286v1_random
QNVO02001473.1	chrUn_NW_021161332v1
QNVO02001477.1	chrUn_NW_021161336v1
QNVO02001467.1	chrUn_NW_021161326v1
QNVO02001481.1	chrUn_NW_021161340v1
QNVO02000800.1	chrUn_NW_021160661v1
QNVO02001462.1	chrUn_NW_021161321v1
QNVO02001472.1	chrUn_NW_021161331v1
QNVO02001459.1	chrUn_NW_021161318v1
QNVO02001470.1	chrUn_NW_021161329v1
QNVO02001575.1	chrUn_NW_021161434v1
QNVO02001456.1	chrUn_NW_021161315v1
QNVO02000319.1	chr3_NW_021160129v1_random
QNVO02001339.1	chrUn_NW_021161198v1
QNVO02001458.1	chrUn_NW_021161317v1
QNVO02001469.1	chrUn_NW_021161328v1
QNVO02001457.1	chrUn_NW_021161316v1
QNVO02001447.1	chrUn_NW_021161306v1
QNVO02001468.1	chrUn_NW_021161327v1
QNVO02000379.1	chr5_NW_021160170v1_random
QNVO02001465.1	chrUn_NW_021161324v1
QNVO02001484.1	chrUn_NW_021161343v1
QNVO02001449.1	chrUn_NW_021161308v1
QNVO02001464.1	chrUn_NW_021161323v1
QNVO02000142.1	chr15_NW_021160302v1_random
QNVO02000462.1	chr8_NW_021160214v1_random
QNVO02000351.1	chr4_NW_021160149v1_random
QNVO02001446.1	chrUn_NW_021161305v1
QNVO02000504.1	chr9_NW_021160226v1_random
QNVO02001445.1	chrUn_NW_021161304v1
QNVO02001444.1	chrUn_NW_021161303v1
QNVO02001438.1	chrUn_NW_021161297v1
QNVO02001443.1	chrUn_NW_021161302v1
QNVO02000269.1	chr1_NW_021160104v1_random
QNVO02000064.1	chr11_NW_021160258v1_random
QNVO02000427.1	chr7_NW_021160194v1_random
QNVO02000461.1	chr8_NW_021160213v1_random
QNVO02001440.1	chrUn_NW_021161299v1
QNVO02001453.1	chrUn_NW_021161312v1
QNVO02001441.1	chrUn_NW_021161300v1
QNVO02001421.1	chrUn_NW_021161280v1
QNVO02001434.1	chrUn_NW_021161293v1
QNVO02000406.1	chr6_NW_021160190v1_random
QNVO02001433.1	chrUn_NW_021161292v1
QNVO02001455.1	chrUn_NW_021161314v1
QNVO02001429.1	chrUn_NW_021161288v1
QNVO02001486.1	chrUn_NW_021161345v1
QNVO02001430.1	chrUn_NW_021161289v1
QNVO02000375.1	chr5_NW_021160166v1_random
QNVO02001426.1	chrUn_NW_021161285v1
QNVO02000141.1	chr15_NW_021160301v1_random
QNVO02001454.1	chrUn_NW_021161313v1
QNVO02001411.1	chrUn_NW_021161270v1
QNVO02000298.1	chr2_NW_021160116v1_random
QNVO02001432.1	chrUn_NW_021161291v1
QNVO02001422.1	chrUn_NW_021161281v1
QNVO02001475.1	chrUn_NW_021161334v1
QNVO02001428.1	chrUn_NW_021161287v1
QNVO02001413.1	chrUn_NW_021161272v1
QNVO02001419.1	chrUn_NW_021161278v1
QNVO02001408.1	chrUn_NW_021161267v1
QNVO02001414.1	chrUn_NW_021161273v1
QNVO02000460.1	chr8_NW_021160212v1_random
QNVO02001427.1	chrUn_NW_021161286v1
QNVO02000042.1	chr10_NW_021160244v1_random
QNVO02001420.1	chrUn_NW_021161279v1
QNVO02000087.1	chr12_NW_021160274v1_random
QNVO02001425.1	chrUn_NW_021161284v1
QNVO02001513.1	chrUn_NW_021161372v1
QNVO02001397.1	chrUn_NW_021161256v1
QNVO02001406.1	chrUn_NW_021161265v1
QNVO02001410.1	chrUn_NW_021161269v1
QNVO02001735.1	chrUn_NW_021161594v1
QNVO02001405.1	chrUn_NW_021161264v1
QNVO02002915.1	chrUn_NW_021162769v1
QNVO02000085.1	chr12_NW_021160272v1_random
QNVO02001402.1	chrUn_NW_021161261v1
QNVO02001409.1	chrUn_NW_021161268v1
QNVO02001399.1	chrUn_NW_021161258v1
QNVO02001391.1	chrUn_NW_021161250v1
QNVO02001404.1	chrUn_NW_021161263v1
QNVO02000083.1	chr12_NW_021160270v1_random
QNVO02001400.1	chrUn_NW_021161259v1
QNVO02001401.1	chrUn_NW_021161260v1
QNVO02000114.1	chr14_NW_021160284v1_random
QNVO02000084.1	chr12_NW_021160271v1_random
QNVO02000294.1	chr20_NW_021160378v1_random
QNVO02000168.1	chr16_NW_021160317v1_random
QNVO02001396.1	chrUn_NW_021161255v1
QNVO02001602.1	chrUn_NW_021161461v1
QNVO02001394.1	chrUn_NW_021161253v1
QNVO02001395.1	chrUn_NW_021161254v1
QNVO02001390.1	chrUn_NW_021161249v1
QNVO02001415.1	chrUn_NW_021161274v1
QNVO02001558.1	chrUn_NW_021161417v1
QNVO02001393.1	chrUn_NW_021161252v1
QNVO02001386.1	chrUn_NW_021161245v1
QNVO02001383.1	chrUn_NW_021161242v1
QNVO02001416.1	chrUn_NW_021161275v1
QNVO02001431.1	chrUn_NW_021161290v1
QNVO02001450.1	chrUn_NW_021161309v1
QNVO02001385.1	chrUn_NW_021161244v1
QNVO02000350.1	chr4_NW_021160148v1_random
QNVO02001382.1	chrUn_NW_021161241v1
QNVO02001388.1	chrUn_NW_021161247v1
QNVO02000374.1	chr5_NW_021160165v1_random
QNVO02001370.1	chrUn_NW_021161229v1
QNVO02001376.1	chrUn_NW_021161235v1
QNVO02001377.1	chrUn_NW_021161236v1
QNVO02001373.1	chrUn_NW_021161232v1
QNVO02001387.1	chrUn_NW_021161246v1
QNVO02000063.1	chr11_NW_021160257v1_random
QNVO02001368.1	chrUn_NW_021161227v1
QNVO02001374.1	chrUn_NW_021161233v1
QNVO02001378.1	chrUn_NW_021161237v1
QNVO02001375.1	chrUn_NW_021161234v1
QNVO02001372.1	chrUn_NW_021161231v1
QNVO02001366.1	chrUn_NW_021161225v1
QNVO02001580.1	chrUn_NW_021161439v1
QNVO02000167.1	chr16_NW_021160316v1_random
QNVO02001364.1	chrUn_NW_021161223v1
QNVO02001362.1	chrUn_NW_021161221v1
QNVO02003144.1	chrUn_NW_021162998v1
QNVO02001369.1	chrUn_NW_021161228v1
QNVO02001254.1	chrUn_NW_021161113v1
QNVO02001356.1	chrUn_NW_021161215v1
QNVO02001359.1	chrUn_NW_021161218v1
QNVO02001365.1	chrUn_NW_021161224v1
QNVO02001360.1	chrUn_NW_021161219v1
QNVO02001355.1	chrUn_NW_021161214v1
QNVO02000261.1	chr1_NW_021160096v1_random
QNVO02001358.1	chrUn_NW_021161217v1
QNVO02001345.1	chrUn_NW_021161204v1
QNVO02001771.1	chrUn_NW_021161627v1
QNVO02001346.1	chrUn_NW_021161205v1
QNVO02001352.1	chrUn_NW_021161211v1
QNVO02001367.1	chrUn_NW_021161226v1
QNVO02001347.1	chrUn_NW_021161206v1
QNVO02001357.1	chrUn_NW_021161216v1
